date,AQIÖ¸Êý,PM2.5,PM10,O3,no2,so2,co,T,Po,U,Ff,VV,RRR
2022/2/21,-0.840530035,-0.431872744,-1.417781091,-0.475519412,-1.374079711,-0.612158437,-0.429069226,-3.077777636,0.309799684,1.277059773,0.551362959,-2.022534542,-0.077054455
2022/2/22,-0.895790918,-1.090451684,0.043022351,-0.05552559,-1.013017678,-0.226715492,-0.429069226,-3.476632549,1.577608361,0.826707714,-1.037988774,0.859528682,-0.244119508
2022/2/23,0.209426726,1.115787764,-0.307570475,-0.115524707,-0.651955644,-0.612158437,-0.763662375,-2.319953301,1.260656191,0.426394773,-0.243312908,-1.422104704,-0.244119508
2022/2/24,-0.287921214,0.523066718,-0.541299026,0.304469115,-1.193548694,-0.612158437,-1.098255524,-1.741613677,0.904085001,0.07612095,-1.037988774,0.139012876,-0.244119508
2022/2/25,-0.122138567,0.094990407,-0.1907062,0.544465585,-1.013017678,-0.997601383,-1.432848673,-0.704590903,0.50789479,-0.624426697,-0.243312908,0.259098843,-0.244119508
2022/2/26,0.31994849,0.292564089,-0.658163302,0.124471763,-0.832486661,-1.383044329,-1.432848673,-0.245907753,0.705989896,-1.024739638,0.551362959,0.739442714,-0.244119508
2022/2/27,-0.177399449,-0.300156956,-0.658163302,0.42446735,-0.651955644,-1.383044329,-1.432848673,-0.206022262,-0.007152485,-1.475091697,1.346038826,0.859528682,-0.244119508
2022/2/28,0.04364408,-0.333085903,-0.307570475,0.42446735,-0.29089361,-0.997601383,-1.098255524,-0.106308533,0.190942621,-1.42505258,-0.243312908,0.859528682,-0.244119508
2022/3/1,0.154165844,-0.036725381,0.159886626,0.604464703,0.431230458,-0.997601383,-1.098255524,-0.16613677,0.705989896,-1.775326403,1.346038826,0.859528682,-0.244119508
2022/3/2,0.375209373,0.160848301,-0.658163302,0.244469998,-0.832486661,-0.997601383,-1.432848673,-0.126251279,0.111704579,-1.525130815,-0.243312908,0.739442714,-0.244119508
2022/3/3,-0.011616803,-0.36601485,-0.833459715,0.484466468,-1.193548694,-0.226715492,-1.432848673,-0.046480296,-0.165628569,-1.825365521,0.551362959,0.859528682,-0.244119508
2022/3/4,0.264687608,-0.563588532,-0.599731164,0.544465585,-1.013017678,-0.226715492,-1.098255524,0.053233432,-0.324104654,-1.875404638,1.346038826,0.859528682,-0.244119508
2022/3/5,0.485731137,-0.36601485,-0.366002613,0.724462938,-0.651955644,-0.226715492,-0.763662375,0.272603634,-0.641056823,-1.975482874,2.140714692,0.859528682,-0.244119508
2022/3/6,0.762035548,-0.003796434,0.80264014,1.204455878,-0.471424627,0.929613345,-0.763662375,0.073176178,0.309799684,-1.925443756,-0.243312908,0.259098843,-0.244119508
2022/3/7,1.646209663,1.115787764,-0.1907062,0.004473528,-1.193548694,-0.226715492,-1.098255524,-0.006594805,0.983323044,-1.174856991,-0.243312908,-0.221245027,-0.244119508
2022/3/8,-0.398442978,-0.102583275,-0.658163302,0.66446382,-1.193548694,-0.612158437,-1.432848673,0.491973836,-0.522199759,-0.874622286,0.551362959,0.859528682,-0.244119508
2022/3/9,0.872557312,-0.398943797,-0.482866889,0.604464703,-0.832486661,-0.226715492,-1.432848673,0.591687565,-0.641056823,-1.825365521,-1.037988774,0.859528682,-0.244119508
2022/3/10,0.596252901,-0.201370116,-0.249138338,0.964459408,-0.651955644,-0.226715492,-1.098255524,0.990542478,-0.720294865,-1.925443756,0.551362959,0.859528682,-0.244119508
2022/3/11,0.927818195,-0.102583275,-0.132274062,1.024458525,-1.193548694,-0.226715492,-1.098255524,0.930714241,-0.87877095,-1.825365521,1.346038826,0.859528682,-0.244119508
2022/3/12,1.148861723,0.06206146,-0.249138338,1.084457643,-0.832486661,-0.226715492,-1.432848673,0.930714241,-0.680675844,-1.725287286,1.346038826,0.739442714,-0.244119508
2022/3/13,1.148861723,0.06206146,-0.132274062,1.024458525,-0.471424627,-0.226715492,-1.098255524,0.811057767,-0.403342696,-1.975482874,-1.037988774,0.859528682,-0.244119508
2022/3/14,1.259383488,0.127919354,0.452047314,0.604464703,0.070168424,0.5441704,-0.763662375,1.110198952,-0.20524759,-1.725287286,0.551362959,0.859528682,-0.244119508
2022/3/15,0.31994849,0.819427241,0.335183039,1.024458525,-0.29089361,0.158727454,-0.763662375,0.172889906,-1.076866055,-0.274152874,-0.243312908,0.859528682,-0.244119508
2022/3/16,1.31464437,0.654782506,0.685775865,1.984444405,-0.471424627,-0.612158437,-0.094476077,0.731286784,-1.552294309,-0.974700521,2.140714692,-0.701588898,-0.244119508
2022/3/17,2.530383778,1.247503551,0.218318764,1.86444617,-0.110362593,-0.612158437,-1.098255524,0.850943258,-0.918389971,-1.475091697,0.551362959,-0.341330995,-0.244119508
2022/3/18,2.033035838,-0.003796434,0.919504416,1.504451465,0.792292492,-0.226715492,-0.763662375,0.75122953,-0.918389971,-1.975482874,-0.243312908,0.859528682,-0.244119508
2022/3/19,1.756731427,1.017000923,0.977936554,1.804447052,-1.193548694,-0.997601383,-0.429069226,1.229855425,-1.908865499,-1.875404638,0.551362959,0.259098843,-0.244119508
2022/3/20,2.254079367,1.576793021,1.211665104,1.804447052,-1.193548694,-0.997601383,-0.429069226,1.030427969,-1.710770393,-1.475091697,0.551362959,-1.061846801,-0.244119508
2022/3/21,2.143557603,2.070727226,1.153232967,0.544465585,-0.832486661,-0.997601383,-0.094476077,1.090256206,-1.195723119,-1.525130815,0.551362959,-0.941760833,-0.244119508
2022/3/22,1.480427016,2.004869332,0.744208003,0.124471763,-0.110362593,-0.997601383,-0.094476077,0.252660888,-0.244866611,-0.224113756,0.551362959,-1.422104704,-0.244119508
2022/3/23,0.762035548,1.576793021,-0.833459715,-0.05552559,-1.193548694,-0.997601383,-0.429069226,-0.285793244,-0.244866611,0.376355656,-1.037988774,-0.341330995,-0.244119508
2022/3/24,-0.177399449,-0.464801691,0.393615177,1.024458525,-1.374079711,-0.997601383,-1.432848673,0.312489125,-1.908865499,-0.474309344,2.140714692,0.139012876,1.704972779
2022/3/25,1.31464437,0.490137771,0.744208003,0.784462055,-1.193548694,-0.612158437,-1.432848673,0.272603634,-0.799532907,-1.174856991,2.140714692,0.018926908,-0.244119508
2022/3/26,0.927818195,0.984071976,-0.132274062,0.004473528,-0.29089361,-0.997601383,-1.098255524,0.29254638,0.032466536,-0.974700521,-0.243312908,-0.701588898,-0.244119508
2022/3/27,-0.398442978,0.094990407,0.043022351,0.604464703,-0.29089361,-0.226715492,-0.763662375,-1.502300729,0.904085001,1.227020656,-0.243312908,-0.58150293,0.591205758
2022/3/28,0.596252901,0.523066718,0.744208003,1.024458525,-1.013017678,-0.997601383,-1.098255524,0.212775397,-0.403342696,-0.924661403,0.551362959,0.259098843,-0.244119508
2022/3/29,1.204122605,1.313361445,0.627343727,1.14445676,-1.193548694,-0.997601383,-1.098255524,0.511916582,-0.87877095,-0.77454405,0.551362959,-0.58150293,-0.244119508
2022/3/30,1.369905252,0.918214082,0.393615177,-0.955512352,0.070168424,-0.612158437,-0.763662375,0.771172275,-0.324104654,-1.124817874,0.551362959,-0.10115906,-0.244119508
2022/3/31,-0.122138567,0.457208824,-1.651509642,-0.29552206,-1.374079711,-0.997601383,-1.098255524,-1.103445816,1.498370318,0.476433891,1.346038826,-0.10115906,-0.244119508
2022/4/1,-0.508964742,-1.913675358,-1.651509642,-0.235522942,-1.374079711,-0.997601383,-1.098255524,-2.339896047,2.885036058,1.076903303,0.551362959,-1.662276639,-0.244119508
2022/4/2,-0.619486507,-1.584385888,-0.599731164,0.66446382,-0.651955644,-0.612158437,-1.098255524,-1.841327405,2.647321931,0.476433891,-0.243312908,0.859528682,-0.188431157
2022/4/3,1.093600841,-0.102583275,-0.073841925,0.66446382,-0.29089361,-0.612158437,-0.763662375,-0.62481992,1.102180107,-0.824583168,-0.243312908,0.859528682,-0.244119508
2022/4/4,0.485731137,0.029132513,-0.599731164,-0.415520295,-0.832486661,0.5441704,-0.763662375,-0.026537551,1.22103717,-0.374231109,-0.243312908,-0.341330995,-0.244119508
2022/4/5,-0.674747389,-0.530659585,-0.424434751,-0.715515882,-0.29089361,-0.226715492,-0.763662375,-1.442472492,2.053036614,0.726629479,0.551362959,0.139012876,-0.132742806
2022/4/6,-1.061573564,-0.497730638,-0.541299026,0.784462055,0.611761475,-0.612158437,-1.098255524,-1.462415238,2.60770291,1.12694242,-0.243312908,-1.302018736,0.006478072
2022/4/7,0.540992019,-0.530659585,0.919504416,0.544465585,1.875478594,-0.612158437,-0.429069226,-0.664705412,1.458751297,-0.274152874,-1.037988774,0.859528682,-0.244119508
2022/4/8,0.540992019,0.984071976,-0.015409787,0.66446382,-0.651955644,-0.612158437,-0.763662375,-0.465277955,0.50789479,0.676590362,-1.832664641,-0.701588898,-0.188431157
2022/4/9,2.58564466,0.325493036,0.101454488,1.924445287,-0.110362593,-0.612158437,-0.763662375,-0.824247377,-0.363723675,1.227020656,-1.037988774,-0.821674865,2.818739799
2022/4/10,2.58564466,0.621853559,0.80264014,1.444452348,0.070168424,-0.612158437,-0.763662375,0.15294716,-0.56181878,0.07612095,-1.037988774,-0.341330995,-0.244119508
2022/4/11,1.756731427,0.7206404,0.218318764,0.364468233,-0.471424627,-0.612158437,-1.098255524,0.432145599,-0.997628013,-0.77454405,-0.243312908,-0.341330995,-0.244119508
